Race,Unit,Gold,Wood,Population,Hit Points,Armor Type,Armor,Sight,Speed,Build Time,Attack Type,Weapon Type,Ground Attack,Air Attack,Cooldown,Range,Icon
# Orc
Orc,Peon ,75,0 ,1 ,250 ,Medium ,0 ,80/60 ,190,15,Normal,Normal,7.5,None,3,Melee,peon.png
Orc,Grunt ,200,0 ,3 ,700/800 ,Heavy ,1/7 ,140/80 ,270,30,Normal,Normal,19.5/30,None,1.6,Melee,grunt.png
Orc,Troll Headhunter ,135,20 ,2 ,350 ,Medium ,0/6 ,140/80 ,270,20,Pierce,Missile,25/34,25/34,2.31,45,t_hunter.png
Orc,Troll Berserker ,135,20 ,2 ,450 ,Medium ,0/6 ,140/80 ,270,22,Pierce,Missile,25/34,25/34,2.31,45,t_berserker.png
Orc,Demolisher ,220,50 ,4 ,425 ,Heavy ,2/8 ,140/120 ,220,40,Siege,Artillery,80.5/109,None,4.5,25 min /115 max,demolisher.png
Orc,Raider ,180,40 ,3 ,610 ,Medium ,1/7 ,140/80 ,350,28,Siege,Normal,25/34,None,1.85,Melee,raider.png
Orc,Tauren ,280,80 ,5 ,1300 ,Heavy ,3/9 ,140/80 ,270,44,Normal,Normal,33/45,None,1.9,Melee,tauren.png
Orc,Shaman ,130,20 ,2 ,335/415 ,Unarmored ,0 ,140/80 ,270,30,Magic,Missile,8.5,8.5,2.1,60,shaman.png
Orc,Witch Doctor ,145,25 ,2 ,315/395 ,Unarmored ,0 ,140/80 ,270,30,Magic,Missile,12,12,1.75,60,witch_doctor.png
Orc,Spirit Walker ,195,35 ,3 ,500/620 ,Unarmored ,0 ,140/80 ,270,38,Magic,Missile,19.5,19.5,1.75,40,spirit_walker.png
Orc,Kodo Beast ,255,60 ,4 ,1000 ,Unarmored ,1 ,140/80 ,220,30,Pierce,Missile,18,18,1.44,50,kodo.png
Orc,Wind Rider ,265,40 ,4 ,570 ,Light ,0/6 ,160/80 ,320,35,Pierce,Missile,40/49,40/49,2,45,wyvern.png
Orc,Troll Batrider ,160,40 ,2 ,325 ,Light ,0/6 ,140/140 ,320,28,Siege,Missile,14/20,None,1.8,30,batrider.png
Orc,Spirit Wolf ,None,None ,None ,200 ,Heavy ,0 ,120/80 ,320,None,Normal,Normal,11.5,None,1,Melee,spirit_wolf.png
Orc,Dire Wolf ,None,None ,None ,300 ,Heavy ,0 ,120/80 ,350,None,Normal,Normal,16.5,None,1,Melee,spirit_wolf.png
Orc,Shadow Wolf ,None,None ,None ,500 ,Heavy ,0 ,120/80 ,350,None,Normal,Normal,21.5,None,1,Melee,spirit_wolf.png
Orc,Serpent Ward ,None,None ,None ,75/135 ,Heavy ,0 ,120/80 ,None,None,Pierce,Missile,12/24.5/43,12/24.5/43,1.5,60,serpent_ward.png
# Undead
Undead,Acolyte ,75,0 ,1 ,220 ,Medium ,0 ,80/60 ,220,15,Normal,Normal,9.5,None,2.5,Melee,acolyte.png
Undead,Ghoul ,120,0 ,2 ,340 ,Heavy ,0/6 ,140/80 ,270/350,18,Normal,Normal,13/17.5,None,1.3/1.04,Melee
Undead,Crypt Fiend ,215,40 ,3 ,550 ,Medium ,0/6 ,140/80 ,270,30,Pierce,Missile,28.5/39,None,2,55
Undead,Gargoyle ,185,30 ,2 ,410 ,Unarmored ,3/9 ,160/80 ,350,35,Pierce/Normal,Missile/Normal,19.5/27,65.5/82,2.2/1.4,30/Melee
Undead,Abomination ,240,70 ,4 ,1175 ,Heavy ,2/8 ,140/80 ,270,40,Normal,Normal,36/48,None,1.9,Melee,abomination.png
Undead,Meat Wagon ,230,50 ,4 ,380 ,Heavy ,2 ,140/120 ,220,45,Siege,Artillery,79.5/108,None,4,25 min/115 max
Undead,Necromancer ,145,20 ,2 ,305/385 ,Unarmored ,0 ,140/90 ,270,24,Magic,Missile,8.5,8.5,1.8,60
Undead,Banshee ,155,30 ,2 ,285/365 ,Unarmored ,0 ,140/80 ,270,28,Magic,Missile,11,11,1.5,60
Undead,Frost Wyrm ,385,120 ,7 ,1350 ,Light ,1/7 ,160/80 ,270,65,Magic,Msplash,104/123.5,89/107,3,30
Undead,Shade ,N/A,N/A ,1 ,125 ,Medium ,0 ,190/80 ,350,15,N/A,N/A,N/A,N/A,N/A,N/A
Undead,Skeleton Warrior ,N/A,N/A ,0 ,180 ,Heavy ,1/7 ,80/60 ,270,N/A,Normal,Normal,14.5/19,None,2,Melee
Undead,Skeletal Mage ,N/A,N/A ,0 ,230 ,Medium ,0/6 ,140/90 ,270,N/A,Pierce,Missile,11.5/16,11.5/16,1.5,50
Undead,Infernal ,N/A,N/A ,N/A ,1500 ,Heavy ,6 ,140/80 ,320,N/A,Chaos,Normal,54.5,None,1.35,Melee
Undead,Carrion Beetle 1 ,N/A,N/A ,0 ,140 ,Heavy ,2 ,120/80 ,270,N/A,Normal,Normal,8.5,None,1.5,Melee
Undead,Carrion Beetle 2 ,N/A,N/A ,0 ,275 ,Heavy ,2 ,120/80 ,270,N/A,Normal,Normal,16.5,None,1.5,Melee
Undead,Carrion Beetle 3 ,N/A,N/A ,0 ,410 ,Heavy ,2 ,120/80 ,270,N/A,Normal,Normal,24.5,None,1.5,Melee
Undead,Obsidian Statue ,200,35 ,3 ,550 ,Heavy ,4 ,120/80 ,270,45,Magic,Missile,7.5,7.5,2.1,57.5
Undead,Destroyer ,N/A,N/A ,5 ,900 ,Light ,3/9 ,140/100 ,320,N/A,Magic,Msplash,20/26,20/26,1.35,45
# Human
Human,Peasant ,75,0 ,1 ,220 ,Medium ,0 ,80/60 ,190,15,Normal,Normal,5.5,None,2,Melee
Human,Militia ,None,None ,1 ,220 ,Heavy ,4/10 ,140/80 ,270,N/A,Normal,Normal,12.5/17,None,1.2,Melee
Human,Footman ,135,0 ,2 ,420 ,Heavy ,2/8 ,140/80 ,270,20,Normal,Normal,12.5/17,None,1.35,Melee
Human,Rifleman ,205,30 ,3 ,535 ,Medium ,0/6 ,140/80 ,270,26,Pierce,Instant,21/28.5,21/28.5,1.5,40/60
Human,Knight ,245,60 ,4 ,835/985 ,Heavy ,5/11 ,140/80 ,350,45,Normal,Normal,34/43,None,1.4,Melee
